date,time,longitude,latitude,attack_type,location_description,nearest_country,eez_country,shore_distance,shore_longitude,shore_latitude,attack_description,vessel_name,vessel_type,vessel_status,data_source
2020-07-26,00:30 UTC,103.54611111111112,1.211111111111111,Boarded,Singapore Straits,MYS,IDN,7.349416380266311,103.51636803500003,1.2704531920000477,"26.07.2020: 0030 UTC: Posn: 01:12.40N - 103:32.46E, Singapore Straits.
Robbers in a wooden boat approached and boarded a barge towed by an underway tug. The crew spotted the boat and raised the alarm. Seeing the crew alertness, the robbers escaped. Incident reported to the coast guard, who later boarded the barge for investigation. On searching the barge, nothing was reported stolen.","NA",Tug,"NA",imb
2020-07-28,10:00 UTC,-50.98444444444444,0.03944444444444444,Boarded,Macapa Anchorage No. 2,BRA,BRA,5.096807592556822,-51.01740475199995,0.0714378930000521,"28.07.2020: 1000 UTC: Posn: 00:02.37N - 050:59.08W, Macapa Anchorage No.2, Brazil.
Unnoticed, robbers boarded an anchored bulk carrier. Duty AB on security rounds noticed the forecastle and paint store doors open and raised the alarm. Upon investigation, ship’s stores reported stolen. Incident reported to Port Control.","NA",Bulk Carrier,Anchored,imb
2020-07-29,03:10 UTC,-72.45055555555555,18.585833333333333,Boarded,Around 6nm NW of Port Au Prince,HTI,HTI,4.479062115465391,-72.41950436099995,18.558254299000055,"29.07.2020: 0310 UTC: Posn: 18:35.9N – 072:27.2W, Around 6nm NW of Port Au Prince, Haiti.
Duty AB on routine rounds onboard a bulk carrier drifting while waiting for orders was confronted and taken hostage by two armed robbers. They stole the AB personnel properties and two mooring ropes before escaping in a waiting boat. Alarm raised and crew mustered.","NA",Bulk Carrier,"NA",imb
2020-08-10,02:06 UTC,13.3125,-8.710555555555555,Boarded,Luanda Anchorage,AGO,AGO,5.293126924244147,13.294200066000087,-8.75481536299992,"10.08.2020: 0206 UTC: Posn: 08:41.98S – 013:18.45E, Luanda Anchorage, Angola.
Three robbers boarded an anchored general cargo ship. The deck patrol was threatened and tied by the robbers. When the deck patrol did not report for 15 minutes, the OOW raised the alarm. Crew mustered, proceeded forward and noticed the tied apprehended crew.  The robbers escaped with stolen ship’s properties.","NA",General Cargo,Anchored,imb
2020-08-11,20:15 UTC,101.45222222222222,1.7022222222222223,Boarded,Dumai Inner Anchorage,IDN,IDN,2.912102658850027,101.42701256600003,1.7092959660000702,"11.08.2020: 2015 UTC: Posn: 01:42.8N – 101:27.8E, Dumai Inner Anchorage, Indonesia.
A robber boarded an anchored tanker using a hook attached to a rope. Alert duty crew noticed the robber along with two other persons in a wooden boat and raised the alarm. Hearing the alerted crew, the robbers escaped without stealing anything. Port Authorities informed through the local agent.","NA",Product Tanker,Anchored,imb
2020-08-13,17:00 UTC,120.97666666666667,13.776944444444444,Attempted,"BBTI Terminal, Batangas",PHL,PHL,0.6065059187708252,120.98096764400009,13.780462958000044,"13.08.2020: 1700 UTC: Posn: 13:46.63N – 120:58.61E, BBTI Terminal, Batangas, Philippines.
Two robbers in a boat approached a berthed chemical tanker. One robber armed with a knife attempted to board the tanker via the stern mooring rope. Deck watchkeeper noticed the robbers and raised the alarm. Crew mustered. Hearing the alarm and seeing the crew alertness, the robbers aborted the attempted boarding and escaped in their boat. Port Authorities and Coast Guard informed.","NA",Chemical Tanker,Berthed,imb
2020-08-18,03:50 UTC,-1.5902777777777777,4.729722222222223,Boarded,Around 13nm SE of Takoradi,GHA,GHA,23.96624111964388,-1.7486059239999463,4.877183335000041,"18.08.2020: 0350 UTC: Posn: 04:43.8N – 001:35.42W, Around 13nm SE of Takoradi, Ghana.
Duty  AB on routine rounds onboard an anchored drilling ship noticed a movement near the aft deck. He called for assistance on radio. Seeing the crew alertness, the unknown persons jumped overboard and escaped in their canoe. Upon inspection, it was discovered that the paint store and boxes containing spares was broken into. Nothing reported stolen. Incident to the Port Authority.","NA",Dredger,Anchored,imb
2020-08-20,13:20 UTC,121.0188888888889,13.733611111111111,Boarded,Batangas Anchorage,PHL,PHL,3.5802797544167575,121.03980553500003,13.758693752000056,"20.08.2020: 1320 UTC: Posn: 13:44.1N – 121:01.8E, Batangas Anchorage, Philippines.
Duty crew on security rounds onboard an anchored bulk carrier was attacked and injured by a robber armed with a knife. The duty crew managed to escape. OOW notified. Alarm raised and crew mustered. Hearing the alarm and seeing the alerted crew, the robber escaped. Incident reported to the authorities and medical assistance requested. Doctors and coast guard officers boarded the vessel to treat the injured crew and investigate. The crew was later sent to the hospital.","NA",Bulk Carrier,Anchored,imb
2020-08-28,07:35 UTC,1.517777777777778,4.568888888888889,Boarded,Around 82nm SSE of Anloga,GHA,GHA,148.86808632256034,0.9548445970000898,5.791083075000074,"28.08.2020: 0735 UTC: Posn: 04:34.15N – 001:31.07E, Around 82nm SSE of Anloga, Ghana.
Unknown persons attacked a fishing vessel. Two crews were reported kidnapped. The incident was reported to the Ghana Authorities. Vessel sailed to a safe port. Investigations are ongoing.","NA",Fishing Vessel,"NA",imb
2020-08-28,20:05 UTC,101.44166666666666,1.7166666666666668,Boarded,Dumai Anchorage,IDN,IDN,1.8229065821499022,101.42701256600003,1.7092959660000702,"28.08.2020: 2005 UTC: Posn: 01:42.8N – 101:26.6E, Dumai Anchorage, Indonesia.
Duty watchman on routine rounds onboard an anchored chemical tanker noticed four robbers armed with knives on poop deck trying to open the hatch for emergency towing arrangements. The duty watchman informed bridge. Alarm raised and all non-essential crew mustered in the citadel. Hearing the alarm, the robbers escaped. Port Control notified via VHF ch 12. Coast guard officers boarded the tanker for investigation. Nothing was reported stolen.","NA",Chemical Tanker,Anchored,imb
2020-08-29,16:40 UTC,104.28166666666667,1.2831194444444445,Boarded,Singapore Straits,MYS,IDN,9.324629402929713,104.27735436300003,1.3673363300000574,"29.08.2020: 1640 UTC Posn: 01:16.39N - 104:16.09E, Singapore Straits.
Three unauthorised persons in a boat came alongside a bulk carrier under way. Using a bamboo pole and hook one person boarded the vessel. Alert crew noticed the boarding and raised the alarm. All crew mustered. Seeing the crew alertness, the robbery was averted. Incident reported to Singapore VTS.","NA",Bulk Carrier,"NA",imb
2020-09-03,19:35 UTC,120.84972222222223,14.540833333333333,Boarded,Manila OPL Anchorage,PHL,PHL,9.52321843165946,120.88607832100001,14.462388414000088,"03.09.2020: 1935 UTC: Posn: 14:31.87N - 120:50.59E, Manila OPL Anchorage, Philippines.
Unnoticed, robbers boarded an anchored general cargo ship, stole ship’s stores and properties and escaped . Incident noticed during routine rounds and reported to the Port Authority.","NA",General Cargo,Anchored,imb
